transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,Total_Bill,product_category,product_type,product_detail,Size,Month Name,Day Name,Hour,Month,Day of Week
459,2023-01-01,5:50:19 PM,5,Lower Manhattan,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,17,1,6
39,2023-01-01,6:50:19 PM,8,Hell's Kitchen,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
57,2023-01-01,7:50:19 PM,8,Hell's Kitchen,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
210,2023-01-01,8:50:19 PM,8,Hell's Kitchen,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,12,1,6
26,2023-01-01,9:50:19 PM,5,Lower Manhattan,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,8,1,6
168,2023-01-01,10:50:19 PM,5,Lower Manhattan,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,12,1,6
346,2023-01-01,11:50:19 PM,5,Lower Manhattan,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,15,1,6
118,2023-01-01,12:50:19 AM,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,11,1,6
254,2023-01-01,1:50:19 AM,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,13,1,6
325,2023-01-01,2:50:19 AM,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,14,1,6
349,2023-01-01,3:50:19 AM,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,15,1,6
515,2023-01-01,4:50:19 AM,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,19,1,6
492,2023-01-01,5:50:19 AM,8,Hell's Kitchen,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,18,1,6
535,2023-01-01,6:50:19 AM,8,Hell's Kitchen,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,19,1,6
13,2023-01-01,7:50:19 AM,5,Lower Manhattan,51,1,3,3,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,7,1,6
251,2023-01-01,8:50:19 AM,5,Lower Manhattan,51,1,3,3,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,13,1,6
218,2023-01-01,9:50:19 AM,8,Hell's Kitchen,49,1,3,3,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,13,1,6
528,2023-01-01,10:50:19 AM,8,Hell's Kitchen,49,1,3,3,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,19,1,6
207,2023-01-01,11:50:19 AM,3,Astoria,49,1,3,3,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,12,1,6
101,2023-01-01,12:50:19 PM,5,Lower Manhattan,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,10,1,6
73,2023-01-01,1:50:19 PM,8,Hell's Kitchen,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,9,1,6
162,2023-01-01,2:50:19 PM,8,Hell's Kitchen,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,12,1,6
115,2023-01-01,3:50:19 PM,3,Astoria,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,11,1,6
213,2023-01-01,4:50:19 PM,3,Astoria,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,12,1,6
317,2023-01-01,5:50:19 PM,3,Astoria,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,14,1,6
445,2023-01-01,6:50:19 PM,3,Astoria,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,17,1,6
187,2023-01-01,7:50:19 PM,3,Astoria,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,12,1,6
189,2023-01-01,8:50:19 PM,3,Astoria,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,12,1,6
61,2023-01-01,9:50:19 PM,8,Hell's Kitchen,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,9,1,6
200,2023-01-01,10:50:19 PM,8,Hell's Kitchen,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,12,1,6
273,2023-01-01,11:50:19 PM,8,Hell's Kitchen,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,13,1,6
264,2023-01-01,12:50:19 AM,5,Lower Manhattan,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,13,1,6
405,2023-01-01,1:50:19 AM,5,Lower Manhattan,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,16,1,6
67,2023-01-01,2:50:19 AM,5,Lower Manhattan,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,9,1,6
41,2023-01-01,3:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,9,1,6
134,2023-01-01,4:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,11,1,6
167,2023-01-01,5:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,12,1,6
284,2023-01-01,6:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,14,1,6
319,2023-01-01,7:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,14,1,6
366,2023-01-01,8:50:19 AM,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,15,1,6
178,2023-01-01,9:50:19 AM,3,Astoria,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,12,1,6
334,2023-01-01,10:50:19 AM,3,Astoria,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,15,1,6
499,2023-01-01,11:50:19 AM,3,Astoria,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,18,1,6
32,2023-01-01,12:50:19 PM,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,8,1,6
36,2023-01-01,1:50:19 PM,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,8,1,6
82,2023-01-01,2:50:19 PM,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,10,1,6
220,2023-01-01,3:50:19 PM,8,Hell's Kitchen,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,13,1,6
342,2023-01-01,4:50:19 PM,8,Hell's Kitchen,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,15,1,6
545,2023-01-01,5:50:19 PM,8,Hell's Kitchen,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,19,1,6
206,2023-01-01,6:50:19 PM,8,Hell's Kitchen,37,1,3,3,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,12,1,6
440,2023-01-01,7:50:19 PM,5,Lower Manhattan,37,1,3,3,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,17,1,6
542,2023-01-01,8:50:19 PM,3,Astoria,37,1,3,3,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,19,1,6
247,2023-01-01,9:50:19 PM,5,Lower Manhattan,87,1,3,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Not Defined,January,Sunday,13,1,6
313,2023-01-01,10:50:19 PM,5,Lower Manhattan,87,1,3,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Not Defined,January,Sunday,14,1,6
378,2023-01-01,11:50:19 PM,8,Hell's Kitchen,87,1,3,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Not Defined,January,Sunday,16,1,6
197,2023-01-01,12:50:19 AM,8,Hell's Kitchen,30,1,3,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Large,January,Sunday,12,1,6
463,2023-01-01,1:50:19 AM,8,Hell's Kitchen,30,1,3,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Large,January,Sunday,17,1,6
144,2023-01-01,2:50:19 AM,3,Astoria,30,1,3,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Large,January,Sunday,11,1,6
51,2023-01-01,3:50:19 AM,8,Hell's Kitchen,32,1,3,3,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,9,1,6
281,2023-01-01,4:50:19 AM,3,Astoria,32,1,3,3,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,14,1,6
488,2023-01-01,5:50:19 AM,3,Astoria,32,1,3,3,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,18,1,6
547,2023-01-01,6:50:19 AM,8,Hell's Kitchen,32,1,3,3,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,19,1,6
433,2023-01-01,7:50:19 AM,8,Hell's Kitchen,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,17,1,6
531,2023-01-01,8:50:19 AM,8,Hell's Kitchen,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,19,1,6
6,2023-01-01,9:50:19 AM,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,7,1,6
45,2023-01-01,10:50:19 AM,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,9,1,6
125,2023-01-01,11:50:19 AM,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,11,1,6
193,2023-01-01,12:50:19 PM,3,Astoria,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,12,1,6
237,2023-01-01,1:50:19 PM,3,Astoria,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,13,1,6
283,2023-01-01,2:50:19 PM,3,Astoria,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,14,1,6
49,2023-01-01,3:50:19 PM,8,Hell's Kitchen,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,9,1,6
133,2023-01-01,4:50:19 PM,8,Hell's Kitchen,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,11,1,6
475,2023-01-01,5:50:19 PM,8,Hell's Kitchen,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,18,1,6
77,2023-01-01,6:50:19 PM,5,Lower Manhattan,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,9,1,6
241,2023-01-01,7:50:19 PM,5,Lower Manhattan,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,13,1,6
399,2023-01-01,8:50:19 PM,5,Lower Manhattan,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,16,1,6
157,2023-01-01,9:50:19 PM,5,Lower Manhattan,29,1,2.5,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Regular,January,Sunday,12,1,6
339,2023-01-01,10:50:19 PM,3,Astoria,29,1,2.5,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Regular,January,Sunday,15,1,6
425,2023-01-01,11:50:19 PM,3,Astoria,29,1,2.5,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Regular,January,Sunday,17,1,6
117,2023-01-01,12:50:19 AM,3,Astoria,46,1,2.5,2.5,Tea,Brewed Green tea,Serenity Green Tea,Regular,January,Sunday,11,1,6
442,2023-01-01,1:50:19 AM,3,Astoria,46,1,2.5,2.5,Tea,Brewed Green tea,Serenity Green Tea,Regular,January,Sunday,17,1,6
